Single_Column,Amount_Raised,Average_IPO_Value,Average_MA_Value,Index_Value
1.0,3100.0,161.6,909.0,2246.72
1.0,3300.0,112.7,245.0,2224.52
1.0,3200.0,176.4,93.7,2236.96
1.0,3900.0,92.0,245.8,2202.97
1.0,2700.0,221.7,190.4,2196.29
1.0,1400.0,103.0,161.9,2210.87
1.0,2700.0,176.1,127.9,2197.83
1.0,967.0,95.2,161.3,2231.13
1.0,1090.0,280.2,167.6,2279.43
1.0,1922.0,109.1,117.0,2323.14
1.0,1273.0,124.7,126.2,2313.2
1.0,1823.0,117.4,115.0,2293.73
1.0,1439.0,86.0,89.4,2294.29
1.0,2331.0,115.2,137.4,2310.39
1.0,898.0,114.9,162.8,2315.28
1.0,1664.0,261.3,74.1,2302.91
1.0,1135.0,142.5,132.2,2319.27
1.0,1068.0,0.0,43.7,2307.07
1.0,1020.0,0.0,114.8,2323.55
1.0,1283.0,187.5,131.2,2347.68
1.0,973.0,0.0,112.3,2304.56
1.0,1074.0,96.3,121.0,2305.32
1.0,762.0,98.2,214.4,2308.79
1.0,732.0,105.8,100.5,2342.09
1.0,1075.0,54.1,107.8,2337.86
